,date,score,sentiment,price
395,2019-08-14,-0.9684,-1.0,11029.400390625
396,2019-08-16,-0.9716,-1.0,11047.7998046875
397,2019-08-19,0.9633,1.0,11053.900390625
398,2019-08-20,0.9808,1.0,11017.0
399,2019-08-21,-0.8591,-1.0,10918.7001953125
400,2019-08-22,-0.9875,-1.0,10741.349609375
401,2019-08-23,0.9828,1.0,10829.349609375
402,2019-08-26,0.9917,1.0,11057.849609375
403,2019-08-27,0.9212,1.0,11105.349609375
404,2019-08-28,-0.9836,-1.0,11046.099609375
405,2019-08-29,-0.9382,-1.0,10948.2998046875
406,2019-08-30,0.9949,1.0,11023.25
407,2019-09-03,0.9747,1.0,10797.900390625
408,2019-09-04,-0.987,-1.0,10844.650390625
409,2019-09-05,0.9799,1.0,10847.900390625
410,2019-09-06,0.4588,1.0,10946.2001953125
411,2019-09-09,-0.9887,-1.0,11003.0498046875
412,2019-09-11,0.9062,1.0,11035.7001953125
413,2019-09-12,0.9738,1.0,10982.7998046875
414,2019-09-13,0.5994,1.0,11075.900390625
415,2019-09-16,-0.9902,-1.0,11003.5
416,2019-09-17,0.875,1.0,10817.599609375
417,2019-09-18,0.1531,1.0,10840.650390625
418,2019-09-19,0.802,1.0,10704.7998046875
419,2019-09-20,0.9794,1.0,11274.2001953125
420,2019-09-23,-0.875,-1.0,11600.2001953125
421,2019-09-24,0.93,1.0,11588.2001953125
422,2019-09-25,0.8442,1.0,11440.2001953125
423,2019-09-26,0.9612,1.0,11571.2001953125
424,2019-09-27,0.4404,1.0,11512.400390625
425,2019-09-30,-0.9914,-1.0,11474.4501953125
426,2019-10-01,0.9153,1.0,11359.900390625
427,2019-10-03,-0.9872,-1.0,11314.0
428,2019-10-04,0.9832,1.0,11174.75
429,2019-10-07,-0.9814,-1.0,11126.400390625
430,2019-10-09,0.5106,1.0,11313.2998046875
431,2019-10-10,-0.9897,-1.0,11234.5498046875
432,2019-10-11,0.9961,1.0,11305.0498046875
433,2019-10-14,0.9891,1.0,11341.150390625
434,2019-10-15,0.9977,1.0,11428.2998046875
435,2019-10-16,0.9965,1.0,11464.0
436,2019-10-17,0.9875,1.0,11586.349609375
437,2019-10-18,0.9948,1.0,11661.849609375
438,2019-10-22,0.9081,1.0,11588.349609375
439,2019-10-23,0.9747,1.0,11604.099609375
440,2019-10-24,-0.6597,-1.0,11582.599609375
441,2019-10-25,0.9468,1.0,11583.900390625
442,2019-10-29,0.9246,1.0,11786.849609375
443,2019-10-30,-0.0516,-1.0,11844.099609375
444,2019-10-31,0.9958,1.0,11877.4501953125
445,2019-11-01,0.9945,1.0,11890.599609375
446,2019-11-04,0.9906,1.0,11941.2998046875
447,2019-11-05,0.9886,1.0,11917.2001953125
448,2019-11-06,-0.5106,-1.0,11966.0498046875
449,2019-11-07,0.9931,1.0,12012.0498046875
450,2019-11-08,-0.9537,-1.0,11908.150390625
451,2019-11-11,0.9403,1.0,11913.4501953125
452,2019-11-13,0.4588,1.0,11840.4501953125
453,2019-11-14,-0.9797,-1.0,11872.099609375
454,2019-11-15,0.9274,1.0,11895.4501953125
455,2019-11-18,0.9723,1.0,11884.5
456,2019-11-19,0.7579,1.0,11940.099609375
457,2019-11-20,0.9485,1.0,11999.099609375
458,2019-11-21,-0.9801,-1.0,11968.400390625
459,2019-11-22,-0.9136,-1.0,11914.400390625
460,2019-11-25,-0.796,-1.0,12073.75
461,2019-11-26,0.9889,1.0,12037.7001953125
462,2019-11-27,0.9932,1.0,12100.7001953125
463,2019-11-28,0.9836,1.0,12151.150390625
464,2019-11-29,-0.9964,-1.0,12056.0498046875
465,2019-12-02,0.8979,1.0,12048.2001953125
466,2019-12-03,-0.7845,-1.0,11994.2001953125
467,2019-12-04,-0.9702,-1.0,12043.2001953125
468,2019-12-05,0.9646,1.0,12018.400390625
469,2019-12-06,0.8792,1.0,11921.5
470,2019-12-09,-0.9889,-1.0,11937.5
471,2019-12-10,-0.9955,-1.0,11856.7998046875
472,2019-12-11,0.9423,1.0,11910.150390625
473,2019-12-12,0.986,1.0,11971.7998046875
474,2019-12-13,0.8316,1.0,12086.7001953125
475,2019-12-16,-0.7239,-1.0,12053.9501953125
476,2019-12-17,0.8271,1.0,12165.0
477,2019-12-18,0.9062,1.0,12221.650390625
478,2019-12-19,0.7845,1.0,12259.7001953125
479,2019-12-20,0.9062,1.0,12271.7998046875
480,2019-12-23,-0.9831,-1.0,12262.75
481,2019-12-24,0.9894,1.0,12214.5498046875
482,2019-12-26,-0.9509,-1.0,12126.5498046875
483,2019-12-27,0.9537,1.0,12245.7998046875
484,2019-12-30,0.9671,1.0,12255.849609375
485,2019-12-31,-0.9879,-1.0,12168.4501953125
486,2020-01-01,0.6486,1.0,12182.5
487,2020-01-02,0.8834,1.0,12282.2001953125
488,2020-01-03,-0.9633,-1.0,12226.650390625
489,2020-01-06,-0.984,-1.0,11993.0498046875
490,2020-01-07,0.9735,1.0,12052.9501953125
491,2020-01-08,-0.8519,-1.0,12025.349609375
492,2020-01-09,0.9899,1.0,12215.900390625
493,2020-01-10,0.2023,1.0,12256.7998046875
494,2020-01-13,0.9979,1.0,12329.5498046875
495,2020-01-14,-0.9949,-1.0,12362.2998046875
496,2020-01-15,-0.9935,-1.0,12343.2998046875
497,2020-01-16,-0.9301,-1.0,12355.5
498,2020-01-17,0.996,1.0,12352.349609375
499,2020-01-20,0.9879,1.0,12224.5498046875
500,2020-01-21,-0.9848,-1.0,12169.849609375
501,2020-01-22,0.9966,1.0,12106.900390625
502,2020-01-23,0.91,1.0,12180.349609375
503,2020-01-24,-0.9042,-1.0,12248.25
504,2020-01-27,0.9864,1.0,12119.0
505,2020-01-28,-0.3899,-1.0,12055.7998046875
506,2020-01-29,0.9468,1.0,12129.5
507,2020-01-30,0.8176,1.0,12035.7998046875
508,2020-01-31,0.9908,1.0,11962.099609375
509,2020-02-03,-0.9808,-1.0,11707.900390625
510,2020-02-04,-0.9886,-1.0,11979.650390625
511,2020-02-05,0.9888,1.0,12089.150390625
512,2020-02-06,0.9624,1.0,12137.9501953125
513,2020-02-07,-0.7964,-1.0,12098.349609375
514,2020-02-10,-0.9923,-1.0,12031.5
515,2020-02-11,0.9926,1.0,12107.900390625
516,2020-02-12,0.9485,1.0,12201.2001953125
517,2020-02-13,0.91,1.0,12174.650390625
518,2020-02-14,0.9846,1.0,12113.4501953125
519,2020-02-17,0.4404,1.0,12045.7998046875
520,2020-02-18,-0.9974,-1.0,11992.5
521,2020-02-19,0.9851,1.0,12125.900390625
522,2020-02-20,-0.9858,-1.0,12080.849609375
523,2020-02-24,0.8225,1.0,11829.400390625
524,2020-02-25,0.9758,1.0,11797.900390625
525,2020-02-26,-0.875,-1.0,11678.5
526,2020-02-27,-0.8176,-1.0,11633.2998046875
527,2020-02-28,-0.6597,-1.0,11201.75
528,2020-03-02,0.9924,1.0,11132.75
529,2020-03-03,0.9774,1.0,11303.2998046875
530,2020-03-04,-0.6486,-1.0,11251.0
531,2020-03-05,0.9854,1.0,11269.0
532,2020-03-06,0.5186,1.0,10989.4501953125
533,2020-03-09,-0.9758,-1.0,10451.4501953125
534,2020-03-11,0.886,1.0,10458.400390625
535,2020-03-12,-0.9923,-1.0,9590.150390625
536,2020-03-13,-0.9956,-1.0,9955.2001953125
537,2020-03-16,0.8558,1.0,9197.400390625
538,2020-03-17,0.898,1.0,8967.0498046875
539,2020-03-18,0.9779,1.0,8468.7998046875
540,2020-03-19,-0.9287,-1.0,8263.4501953125
541,2020-03-20,0.9939,1.0,8745.4501953125
542,2020-03-23,-0.9584,-1.0,7610.25
543,2020-03-24,0.9947,1.0,7801.0498046875
